Location,Ground_Truth,State_List,Rank
"30,62",CR_token2,"[49, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 206]",1
"32,3",ID ( ),"[160, 165, 106, 257]",7
"32,14",( ),[184],5
"32,15",),[261],1
"32,16",CR,"[215, 226, 206]",2
"32,38",CR_token2,"[215, 226, 206]",1
"33,3",ID = Expr,"[160, 165, 107, 106, 257]",1
"33,13",= Expr,[184],1
"33,15",ID,[70],1
"33,16",CR_token2,"[5, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 206]",1
"35,3",ID = Expr,"[160, 165, 107, 106, 257]",1
"35,7",= Expr,[184],1
"35,9",NUM,[70],3
"35,10",CR_token2,"[43, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 206]",1
"36,3",ID = Expr,"[160, 165, 107, 106, 257]",1
"36,16",= Expr,[184],1
"36,18",ID,[70],1
"36,28",CR_token2,"[5, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 206]",1
"37,3",Stmt_token1 Expr CRStmtCRs Stmt_token2,"[160, 165, 107, 106, 257]",12
"37,9",ID,[79],1
"37,13",= CompExpr,"[5, 44, 42, 48, 59, 90, 135, 169, 181, 194, 186]",11
"37,15",NUM,[123],2
"37,16",CR_token2,"[43, 44, 42, 48, 59, 94, 135, 169, 181, 194, 186]",5
"38,5",Stmt_token9 Expr Stmt_token10 CRStmtCRs MoreThanZeroElseIf,"[126, 93, 187]",4
"38,8",ID,[86],1
"38,21",> AdditiveExpr,"[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 254]",11
"38,23",ID,[131],2
"38,32",Stmt_token10 CRStmtCRs MoreThanZeroElseIf,"[4, 29, 38, 50, 78, 91, 128, 167, 183, 195, 254]",3
"38,36",CR_token2,[124],1
"39,7",ID = Expr,"[109, 67, 122]",1
"39,20",= Expr,[184],1
"39,22",ID,[70],1
"39,35",- MultiplicativeExpr,"[5, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 207]",6
"39,37",NUM,[144],1
"39,38",CR_token2,"[43, 44, 42, 40, 59, 90, 135, 169, 181, 194, 215, 226, 207]",1
"40,5",OptionalElse_token1,"[109, 112, 68, 122]",4
"40,10",CR_token2,"[218, 219, 211, 205]",1
"42,5",ID = Expr,"[126, 132, 95, 187]",1
"42,11",= Expr,[184],1
"42,13",ID,[70],1
"42,25",CR_token2,"[5, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 205]",5
"43,5",ID = Expr,"[126, 132, 92, 95, 187]",1
"43,15",= Expr,[184],1
"43,17",ID,[70],1
"43,26",CR_token2,"[5, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 205]",5
"44,5",ID = Expr,"[126, 132, 92, 95, 187]",1
"44,14",= Expr,[184],1
"44,16",ID . ID ( Exprs ),[70],2
"44,20",. ID ( Exprs ),"[5, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 205]",2
"44,21",ID ( Exprs ),[260],1
"44,27",( Exprs ),"[24, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 205]",2
"44,28",STR,[26],3
"44,38",", MoreThanOneExpr","[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 249]",1
"44,40",ID . ID ( Exprs ),[54],5
"44,44",. ID ( Exprs ),"[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252, 242, 249]",9
"44,45",ID ( Exprs ),[248],1
"44,60",( Exprs ),"[23, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252, 242, 249]",7
"44,61",NUM,[22],3
"44,62",),"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 239]",6
"44,63",),"[35, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252, 242, 249]",4
"44,64",CR_token2,"[49, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 205]",3
"46,5",ID ( ),"[126, 132, 92, 95, 187]",6
"46,16",( ),[184],5
"46,17",),[261],1
"46,18",CR,"[215, 226, 205]",2
"46,40",CR_token2,"[215, 226, 205]",1
"47,5",ID = Expr,"[126, 132, 92, 95, 187]",1
"47,15",= Expr,[184],1
"47,17",ID,[70],1
"47,18",CR_token2,"[5, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 205]",5
"48,5",ID ( ),"[126, 132, 92, 95, 187]",6
"48,21",( ),[184],5
"48,22",),[261],1
