File Name,Total,Top-1 Acc (%),Top-3 Acc (%),Top-5 Acc (%),Top-10 Acc (%),Top-20 Acc (%),Found,Found (%),Not Found,Not Found (%),Fail,Fail (%)
php-8-objects-patterns-practice-main_src_ch09_batch10_MegaApptEncoder.php,35,65.71,85.71,91.43,97.14,100.0,35,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch10_Runner.php,65,46.15,75.38,86.15,95.38,95.38,65,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch10_BloggsApptEncoder.php,35,65.71,85.71,91.43,97.14,100.0,35,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch10_BloggsCommsManager.php,103,35.92,66.99,74.76,97.09,99.03,103,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch10_Encoder.php,27,66.67,85.19,88.89,96.3,100.0,27,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch01_Minion.php,42,64.29,80.95,85.71,92.86,95.24,41,97.62,1,2.38,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch01_Runner.php,73,47.95,79.45,95.89,100.0,100.0,73,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch01_NastyBoss.php,94,45.74,79.79,89.36,97.87,100.0,94,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch01_Employee.php,40,50.0,70.0,80.0,90.0,97.5,40,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch05_Preferences.php,141,33.33,62.41,73.05,90.07,100.0,141,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch05_Runner.php,67,44.78,76.12,82.09,94.03,97.01,67,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch05_PreferencesImpl.php,35,65.71,85.71,91.43,97.14,100.0,35,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch05_PreferencesMock.php,35,65.71,85.71,91.43,97.14,100.0,35,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch12_MarsForest.php,20,70.0,80.0,95.0,100.0,100.0,20,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch12_EarthForest.php,20,70.0,80.0,95.0,100.0,100.0,20,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch12_MarsSea.php,20,70.0,80.0,95.0,100.0,100.0,20,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch12_Container.php,62,51.61,74.19,87.1,96.77,96.77,62,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch12_Forest.php,18,61.11,77.78,88.89,94.44,94.44,17,94.44,1,5.56,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch12_Sea.php,30,53.33,73.33,83.33,93.33,100.0,30,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch12_Plains.php,18,61.11,77.78,88.89,94.44,94.44,17,94.44,1,5.56,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch12_Contained.php,19,63.16,78.95,89.47,94.74,94.74,18,94.74,1,5.26,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch12_EarthSea.php,20,70.0,80.0,95.0,100.0,100.0,20,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch12_Runner.php,82,42.68,62.2,75.61,95.12,98.78,82,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch12_MarsPlains.php,20,70.0,80.0,95.0,100.0,100.0,20,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch12_TerrainFactory.php,105,46.67,80.0,86.67,91.43,97.14,105,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch12_EarthPlains.php,20,70.0,80.0,95.0,100.0,100.0,20,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch07_CommsManager.php,123,39.02,65.85,71.54,93.5,98.37,123,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch07_ApptEncoder.php,28,50.0,71.43,82.14,96.43,100.0,28,100.0,0,0.0,0,0.0
